tiempo_s,temperatura_agua_C,temperatura_ambiente_C,humedad_relativa_pct,lado_frio_C,lado_caliente_C,voltaje_V,corriente_A,potencia_W
0,25.0,23.4,47.0,22.4,37.0,12.1,4.8,58.08
10,23.01,23.5,47.59,20.41,37.62,12.1,4.84,58.59
20,21.34,23.58,48.11,18.74,38.1,12.1,4.87,58.95
30,19.95,23.63,48.51,17.35,38.48,12.1,4.88,59.04
40,18.8,23.65,48.75,16.2,38.77,12.1,4.86,58.85
50,17.83,23.63,48.79,15.23,39.0,12.1,4.83,58.42
60,17.03,23.57,48.64,14.43,39.18,12.1,4.78,57.9
70,16.36,23.48,48.3,13.76,39.31,12.1,4.75,57.42
80,15.8,23.39,47.82,13.2,39.42,12.1,4.72,57.15
90,15.34,23.29,47.25,12.74,39.5,12.1,4.72,57.15
100,14.95,23.21,46.66,12.35,39.57,12.1,4.75,57.44
110,14.62,23.16,46.1,12.02,39.62,12.1,4.79,57.91
120,14.35,23.15,45.64,11.75,39.66,12.1,4.83,58.44
